"massflow","Normals:0","Normals:1","Normals:2","Theta","U1:0","U1:1","U1:2","U1Mean:0","U1Mean:1","U1Mean:2","U2:0","U2:1","U2:2","U2Mean:0","U2Mean:1","U2Mean:2","alpha0","alpha1","alpha1Mean","epsilon","k","magU1Mean","p","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
23.471,0,-0.0008,0,8e-08,0,0,0,-3.4155e-08,-2.2434e-05,0,0,0,0,-1.8658e-07,-6.1171e-05,0,0,0.00024,0.0002543,0.008,0.0008,3.7648e-05,0,1,0,5.294e-19,0,0.005
7.6373,-2.9382e-09,-2.4731e-05,0,,,,,-1.3166e-09,-7.0585e-05,0,-5.8777e-10,-7.4743e-06,0,-2.3408e-09,-4.0143e-05,0,,,0.00026004,0.00024876,0.008,0.0008,0.034008,1,0.02,5.294e-19,0,0.005
14.953,-5.5675e-10,-4.6299e-05,0,,,,,-1.5894e-09,-0.00011494,0,-1.1204e-09,-1.2638e-05,0,8.2655e-10,-8.4733e-05,0,,,0.00027811,0.00025941,0.008,0.0008,0.035725,1,0.04,5.294e-19,0,0.005
22.234,5.4956e-08,-6.5742e-05,0,,,,,-1.0427e-08,-0.00014026,0,1.4776e-08,-1.7105e-05,0,2.5515e-08,-0.00012841,0,,,0.00029972,0.00026896,0.008,0.0008,0.042165,1,0.06,5.294e-19,0,0.005
31.129,7.4337e-07,-8.4379e-05,0,,,,,1.9414e-07,-0.00014846,0,2.0474e-09,-2.2277e-05,0,8.6743e-07,-0.0001617,0,,,0.00032257,0.00027944,0.008,0.0008,0.046177,1,0.08,5.294e-19,0,0.005
40.001,-3.0353e-06,-9.8115e-05,0,,,,,-1.1508e-06,-0.00015053,0,-1.102e-07,-2.7266e-05,0,-3.1698e-06,-0.00019721,0,,,0.00035049,0.00029096,0.008,0.0008,0.048939,1,0.1,5.294e-19,0,0.005
48.841,-9.34e-06,-0.00011092,0,,,,,-4.3873e-06,-0.00015469,0,-4.7848e-07,-3.2011e-05,0,-9.3202e-06,-0.00022395,0,,,0.00036497,0.00030223,0.008,0.0008,0.050248,1,0.12,5.294e-19,0,0.005
57.111,-1.777e-05,-0.00012178,0,,,,,-9.1128e-06,-0.00016643,0,-1.3679e-06,-3.6296e-05,0,-1.8235e-05,-0.00025455,0,,,0.00037201,0.00031172,0.008,0.0008,0.050722,1,0.14,5.294e-19,0,0.005
64.661,-6.4353e-06,-0.00013085,0,,,,,-1.1019e-05,-0.00017432,0,-2.5499e-06,-4.0137e-05,0,-4.5394e-06,-0.00027862,0,,,0.00037102,0.00031931,0.008,0.0008,0.051038,1,0.16,5.294e-19,0,0.005
71.27,1.9651e-06,-0.0001384,0,,,,,-4.058e-06,-0.000186,0,-2.8956e-06,-4.3436e-05,0,1.7579e-06,-0.00029768,0,,,0.00036464,0.00032472,0.008,0.0008,0.051018,1,0.18,5.294e-19,0,0.005
